split,galaxy,cut_category,threshold,patches,positive_patches,negative_patches,patch_tp,patch_fp,patch_fn,patch_tn,pixel_tp,pixel_fp,pixel_fn,patch_precision,patch_recall,patch_f1,pixel_precision,pixel_recall,pixel_f1
test,ngc_3184,spatial_offset_8pix__shell_major,0.075,160,50,110,50,110,0,0,2410,40228,796,0.3125,1.0,0.47619047619047616,0.056522350954547586,0.751715533374922,0.10513916761190123
test,ngc_3184,spatial_offset_8pix__shell_minor,0.05,160,70,90,68,88,2,2,4314,41194,2494,0.4358974358974359,0.9714285714285714,0.6017699115044248,0.09479651929331107,0.6336662749706228,0.16492086550959553
test,ngc_3184,spatial_offset_8pix__shell_minor,0.075,160,70,90,68,88,2,2,4262,39738,2546,0.4358974358974359,0.9714285714285714,0.6017699115044248,0.09686363636363636,0.6260282021151586,0.1677688552983782
test,ngc_3184,velocity_offset_+15kms,0.05,80,80,0,80,0,0,0,10302,21794,1180,1.0,1.0,1.0,0.3209745762711864,0.8972304476572026,0.47280737987057686
test,ngc_3184,velocity_offset_+15kms,0.075,80,80,0,80,0,0,0,10270,21038,1212,1.0,1.0,1.0,0.3280311741407947,0.8944434767462115,0.4800186959569993
test,ngc_3184,velocity_offset_+30kms,0.05,80,80,0,80,0,0,0,10220,21368,1262,1.0,1.0,1.0,0.3235405850322907,0.8900888346977879,0.4745762711864407
test,ngc_3184,velocity_offset_+30kms,0.075,80,80,0,80,0,0,0,10140,20602,1342,1.0,1.0,1.0,0.32984191009043,0.8831214074203101,0.480295566502463
test,ngc_3184,velocity_offset_-15kms,0.05,80,80,0,80,0,0,0,10338,21758,1144,1.0,1.0,1.0,0.3220962113659023,0.9003657899320676,0.4744595897012254
test,ngc_3184,velocity_offset_-15kms,0.075,80,80,0,80,0,0,0,10282,21046,1200,1.0,1.0,1.0,0.32820480081716036,0.8954885908378332,0.48035505722961924
test,ngc_3184,velocity_offset_-30kms,0.05,80,80,0,80,0,0,0,10258,21872,1224,1.0,1.0,1.0,0.31926548397136634,0.8933983626545898,0.4704209850499863
test,ngc_3184,velocity_offset_-30kms,0.075,80,80,0,80,0,0,0,10212,21124,1270,1.0,1.0,1.0,0.32588715853969874,0.8893920919700401,0.47699565603250965
test,ngc_7793,angle_offset_+22.5deg,0.05,54,54,0,54,0,0,0,9182,25008,2824,1.0,1.0,1.0,0.2685580579116701,0.764784274529402,0.39752359511646024
test,ngc_7793,angle_offset_+22.5deg,0.075,54,54,0,54,0,0,0,9062,24010,2944,1.0,1.0,1.0,0.27400822447992257,0.7547892720306514,0.40205865388881495
